$Ascii:UWI 02_97-DD-1X,Lam Son JOC,,,
.	.	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Zoneset_Zone_BB	
UWI	Depth   Azimuth Derivation	DTCO3   DTSH5	East	ECGR	HAZI	HCAL	HDEVI	North	R	RHOZ	RLA1	RLA2	RLA3	RLA4	RLA5	RT_HRLT	RXOZ	TNPH	TVD	TVDSS	X	Y	Zoneset_Zone_BB
.	M	.	.	US/F	US/F	.	GAPI	Deg	IN	Deg	.	.	G/C3	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	V/V	.	.	.	.	.	
null	1152.7536	224.9354	0.7462	55.4464	256.8669	-0.0607	85.4239	224.9354	12.4612	0.7462	-0.0594	0.085	1.891	0.0128	0.0094	0.0075	0.0055	0.0055	0.0053	0.03	0.5123	1152.7531	1152.7531	-0.0607	-0.0594	A	
null	1152.906	224.9056	0.7471	54.1053	257.1984	-0.0621	86.4285	224.9056	12.4548	0.7471	-0.0608	0.087	1.8944	0.0157	0.0115	0.0093	0.0071	0.0071	0.0068	0.0348	0.5565	1152.9054	1152.9054	-0.0621	-0.0608	A	
null	1153.0584	224.8759	0.748	54.1179	256.1048	-0.0635	87.1348	224.8759	12.4494	0.748	-0.0623	0.0889	1.9118	0.0117	0.0088	0.0071	0.005	0.0054	0.0053	0.0348	0.5282	1153.0578	1153.0578	-0.0635	-0.0623	A	
null	1153.2108	224.8463	0.7489	55.4027	255.2382	-0.0649	88.1581	224.8463	12.4554	0.7489	-0.0637	0.0909	1.9469	0.0126	0.0094	0.0075	0.0055	0.0057	0.0056	0.0348	0.4905	1153.2102	1153.2102	-0.0649	-0.0637	A	
null	1153.3632	224.8167	0.7498	55.444	253.3634	-0.0663	88.2993	224.8167	12.4508	0.7498	-0.0651	0.0929	1.9821	0.0122	0.009	0.0072	0.0052	0.0055	0.0053	0.03	0.4464	1153.3626	1153.3626	-0.0663	-0.0651	A	
null	1153.5156	224.7872	0.7508	55.4381	250.1848	-0.0677	87.8874	224.7872	12.4503	0.7508	-0.0665	0.0949	2.0137	0.0116	0.0087	0.0069	0.005	0.0054	0.0052	0.03	0.4449	1153.515	1153.515	-0.0677	-0.0665	A	
null	1153.668	224.7578	0.7517	55.5506	249.6848	-0.0691	84.6304	224.7578	12.4583	0.7517	-0.0679	0.0969	2.0226	0.0132	0.0098	0.0079	0.0058	0.0061	0.0059	0.03	0.4561	1153.6674	1153.6674	-0.0691	-0.0679	A	
null	1153.8204	224.7285	0.7526	55.5506	246.29	-0.0706	84.1292	224.7285	12.4522	0.7526	-0.0693	0.0989	2.0238	0.0131	0.0096	0.0077	0.0056	0.0058	0.0056	0.03	0.4836	1153.8198	1153.8198	-0.0706	-0.0693	A	
null	1153.9728	224.6992	0.7535	55.5506	238.6221	-0.072	84.5598	224.6992	12.4557	0.7535	-0.0708	0.1009	2.018	0.0118	0.0087	0.0069	0.0049	0.0051	0.0049	0.03	0.5084	1153.9722	1153.9722	-0.072	-0.0708	A	
null	1154.1252	224.67	0.7545	55.5452	233.1053	-0.0734	84.2927	224.67	12.4562	0.7545	-0.0722	0.1029	2.0088	0.0126	0.0093	0.0073	0.0052	0.0051	0.005	0.03	0.5109	1154.1245	1154.1245	-0.0734	-0.0722	A	
